,Minimum Value,Q1 (25th percentile),Median (50th percentile),Q3 (75th percentile),Maximum Value,Range,Interquartile Range (IQR)
Unnamed: 0,1.0,1566.75,3132.5,4698.25,6264.0,6263.0,3131.5
X1,1.0,789.75,1720.0,2759.25,3670.0,3669.0,1969.5
age,18.0,23.0,28.0,33.0,56.0,38.0,10.0
gender,0.0,0.0,0.0,1.0,1.0,1.0,1.0
height,143.0,160.0,168.0,180.0,191.0,48.0,20.0
weight,43.0,60.0,68.0,77.3,115.0,72.0,17.299999999999997
steps,1.0,5.159533811053455,10.09202886896385,105.847222222222,1714.0,1713.0,100.68768841116855
hear_rate,2.22222222222222,75.5980785296575,77.267680083692,95.66911764705885,194.333333333333,192.11111111111077,20.071039117401355
calories,0.0562692307692308,0.7358750000000001,4.0,20.5,97.5,97.44373076923077,19.764125
distance,0.00044,0.01913489285714285,0.1817185,15.6971881759192,335.0,334.99956,15.678053283062058
entropy_heart,0.0,6.10852445677817,6.18982455888002,6.24792751344359,6.4757334309664,6.4757334309664,0.13940305666541963
entropy_setps,0.0,5.90944045280115,6.15719709065712,6.24792751344359,6.4757334309664,6.4757334309664,0.3384870606424393
resting_heart,3.0,58.1343333333333,75.0,76.1387008333333,155.0,152.0,18.0043675
corr_heart_steps,-1.0,-0.467303235667249,0.6658291237999641,1.0,1.0,2.0,1.467303235667249
norm_heart,-76.0,1.14888263555389,9.820254263025,27.077335858585876,156.319444444444,232.319444444444,25.928453223031987
intensity_karvonen,-2.71428571428571,0.009818868600756824,0.07952858781295641,0.21186758675574752,1.2979797979798,4.01226551226551,0.2020487181549907
sd_norm_heart,0.0,0.264722010296718,2.89350322251257,9.679672104732528,74.4579291138554,74.4579291138554,9.414950094435811
steps_times_distance,0.00069,0.659260036186983,13.3686186111111,93.7285617573419,51520.0,51519.99931,93.06930172115491
