,Mean,Mode,Standard Deviation,Sum,Median Absolute Deviation,Coefficient of Variation,Kurtosis,Skewness
Unnamed: 0,3132.5,1.0,1808.405374909066,19621980.0,1566.0,0.5773041899151049,-1.2000000611656725,0.0
X1,1771.1443167305235,1.0,1097.9887484120309,11094448.0,981.5,0.6199318361808502,-1.3125311777222022,0.09211702335435708
age,29.15852490421456,25.0,8.90897773058581,182649.0,5.0,0.3055359542312825,1.3533601195754175,1.2461018840389573
gender,0.47653256704980845,0.0,0.49948884735403143,2985.0,0.0,1.0481735811811232,-1.991169019847637,0.09397329488936168
height,169.70905172413794,160.0,10.324697882220653,1063057.5,8.0,0.06083763816560268,-0.6589049121340653,-0.20784426396166716
weight,69.61446360153256,68.0,13.451878323577452,436065.0,8.899999999999999,0.1932339578248407,0.7485385743409219,0.6155555477268119
steps,109.56226784613551,1.0,222.79790794473982,686298.0457881929,7.743088782562449,2.0335277128219684,9.433330718265305,2.952117239214441
hear_rate,86.1423313938081,78.5313023809524,28.64838497476638,539595.563850814,9.5845213584373,0.33257034620757453,1.322627050485952,0.7703257547814935
calories,19.471823374275477,1.0,27.309764646939705,121971.5016164616,3.788,1.402527340249966,0.5477565292742961,1.4079194282483674
distance,13.832554790098404,1.0,45.94143734674101,86647.12320517641,0.17803703034547155,3.321254680995497,25.337564379533962,5.0339318316040185
entropy_heart,6.0303144015657475,6.20945336562895,0.765574369867811,37773.88941140784,0.06993663434119934,0.12695430435086977,42.774137746033595,-6.236486984766301
entropy_setps,5.739984238633239,6.16992500144231,1.2563481120390967,35955.26127079861,0.10958945003778009,0.21887657871657304,10.705960481777435,-3.3488112240573713
resting_heart,65.86993837853097,75.6670114877907,21.20301741943007,412609.294003118,5.400000000000006,0.32189217025806083,2.6000085926779795,-0.7244688452394317
corr_heart_steps,0.30644663433497066,1.0,0.7754175820277911,1919.581717474256,0.33417087620003594,2.5303511122272524,-1.3051515748252744,-0.5713177697358383
norm_heart,20.27239301527714,0.0,28.388115555635164,126986.269847696,9.296946313252995,1.4003337215415108,5.068608670274173,2.1503515073461053
intensity_karvonen,0.1554794948928595,0.0,0.21092653407578724,973.9235560088719,0.07470629879807486,1.3566196251225033,9.499287099327718,1.0196808019031867
sd_norm_heart,8.11085355471586,0.0695682983670221,12.535079859467045,50806.386666740145,2.8201229625911903,1.545469878713175,6.082818315850673,2.411891700816861
steps_times_distance,590.0352388755643,1.0,4063.838530451166,3695980.736316535,13.347019751057275,6.887450549895394,90.58288271216703,9.25707783393574
