,Unnamed: 0,X1,age,gender,height,weight,steps,hear_rate,calories,distance,entropy_heart,entropy_setps,resting_heart,corr_heart_steps,norm_heart,intensity_karvonen,sd_norm_heart,steps_times_distance
Unnamed: 0,1.0,0.4734212792369692,0.110798319277663,-0.1839409228573558,-0.15242121418157248,-0.1556945146869899,-0.32487608291530984,-0.0808530555314855,0.23186951104331102,0.5309379011570066,0.055155971427643946,-0.015086306215331158,0.02500812022429352,0.312090401870595,-0.09396409163515117,-0.09674347778707962,-0.09629130858712906,0.3564164202771003
X1,0.4734212792369692,1.0,0.24626538311355242,-0.3718247309019583,-0.27584980519827507,-0.22212248911705887,0.06489783901153919,0.12438839177345096,-0.19654180304653593,0.0035559145187391626,-0.04764027475703253,-0.21829375760489286,-0.008301120949606952,-0.057330106591491715,0.19545666835766168,0.2021029088490337,0.25195175385820373,0.04177926861920708
age,0.110798319277663,0.24626538311355242,1.0,-0.26848483967409115,-0.37112374724538,-0.10606650305158578,0.016567619916265482,0.005897399160811343,-0.10431628302550544,0.005755659651067362,-0.10909995893667278,-0.11343451545690135,-0.011981869025260976,0.032361319545266214,0.012958602947131002,0.036883022758958536,0.035123335846294464,0.01852393724713943
gender,-0.1839409228573558,-0.3718247309019583,-0.26848483967409115,1.0,0.6240136433000749,0.5176465342754248,-0.01992836770817666,-0.11632159892123711,0.1252862911910275,-0.01150558368982293,0.1706620173863298,0.16744711528497358,-0.18241732470135882,-0.038754299844534316,-0.01629943009114161,-0.030998970477436764,-0.048031284554923115,-0.03535770636467545
height,-0.15242121418157248,-0.27584980519827507,-0.37112374724538,0.6240136433000749,1.0,0.5223401106425621,0.027266064125039978,-0.1217525999785541,0.090179099506506,0.007496967634127494,0.12085017469042954,0.15384765684618829,-0.11672658749541877,-0.0008492921333647787,-0.07803572715414582,-0.09777666227520693,-0.07866334588458042,0.015423361014916223
weight,-0.1556945146869899,-0.22212248911705887,-0.10606650305158578,0.5176465342754248,0.5223401106425621,1.0,0.07354586843880324,-0.07436264103384256,0.08673539704243308,0.0040397518220276615,0.09203516334172959,0.04779173909950243,-0.048535593217616815,-0.041286667951775276,-0.06388985908191687,-0.0739338127095625,-0.04855472802352111,0.006820213847183306
steps,-0.32487608291530984,0.06489783901153919,0.016567619916265482,-0.01992836770817666,0.027266064125039978,0.07354586843880324,1.0,0.19015425640977002,-0.2392768970303147,-0.0898849781879898,-0.09186665278343012,-0.12110467355248315,0.03386181474679878,-0.26258826516286926,0.20757447475380764,0.21634305205886606,0.20461025083998197,0.2612495719939131
hear_rate,-0.0808530555314855,0.12438839177345096,0.005897399160811343,-0.11632159892123711,-0.1217525999785541,-0.07436264103384256,0.19015425640977002,1.0,-0.2368115931442679,-0.21691495472128672,-0.04447745573062414,-0.18673135933516125,0.38239816668642235,-0.17927527785935382,0.4654240277519408,0.5027223682179306,0.21255122696492262,-0.06348699508329823
calories,0.23186951104331102,-0.19654180304653593,-0.10431628302550544,0.1252862911910275,0.090179099506506,0.08673539704243308,-0.2392768970303147,-0.2368115931442679,1.0,0.4044796423697166,0.06655486345500093,0.1993437084967714,-0.04242259717408247,0.16394209636407947,-0.23900367559247898,-0.2539258626579505,-0.3114116018982992,0.2372560200017689
distance,0.5309379011570066,0.0035559145187391626,0.005755659651067362,-0.01150558368982293,0.007496967634127494,0.0040397518220276615,-0.0898849781879898,-0.21691495472128672,0.4044796423697166,1.0,0.07823353757924566,0.10979966467516343,0.012276349013752541,0.3134668678455573,-0.27341279170531624,-0.2803411986560919,-0.23688494853703082,0.6489091389103908
entropy_heart,0.055155971427643946,-0.04764027475703253,-0.10909995893667278,0.1706620173863298,0.12085017469042954,0.09203516334172959,-0.09186665278343012,-0.04447745573062414,0.06655486345500093,0.07823353757924566,1.0,0.565981360737235,0.0905464980599832,0.07951643045920115,-0.12241584841320091,-0.12491827034508099,-0.2928470884974075,0.05672594138607152
entropy_setps,-0.015086306215331158,-0.21829375760489286,-0.11343451545690135,0.16744711528497358,0.15384765684618829,0.04779173909950243,-0.12110467355248315,-0.18673135933516125,0.1993437084967714,0.10979966467516343,0.565981360737235,1.0,0.07792533026201812,0.12783161179491367,-0.2673209672547823,-0.26911095034732063,-0.4627512311599878,0.09963483143836362
resting_heart,0.02500812022429352,-0.008301120949606952,-0.011981869025260976,-0.18241732470135882,-0.11672658749541877,-0.048535593217616815,0.03386181474679878,0.38239816668642235,-0.04242259717408247,0.012276349013752541,0.0905464980599832,0.07792533026201812,1.0,-0.0173886117042137,-0.15700561399374127,-0.11300497665667912,-0.14126480680127543,0.04474936650822442
corr_heart_steps,0.312090401870595,-0.057330106591491715,0.032361319545266214,-0.038754299844534316,-0.0008492921333647787,-0.041286667951775276,-0.26258826516286926,-0.17927527785935382,0.16394209636407947,0.3134668678455573,0.07951643045920115,0.12783161179491367,-0.0173886117042137,1.0,-0.24902295339243463,-0.2584476916055523,-0.18274615161955732,0.18203720381858837
norm_heart,-0.09396409163515117,0.19545666835766168,0.012958602947131002,-0.01629943009114161,-0.07803572715414582,-0.06388985908191687,0.20757447475380764,0.4654240277519408,-0.23900367559247898,-0.27341279170531624,-0.12241584841320091,-0.2673209672547823,-0.15700561399374127,-0.24902295339243463,1.0,0.9470369765172584,0.417682594576703,-0.09848284574101127
intensity_karvonen,-0.09674347778707962,0.2021029088490337,0.036883022758958536,-0.030998970477436764,-0.09777666227520693,-0.0739338127095625,0.21634305205886606,0.5027223682179306,-0.2539258626579505,-0.2803411986560919,-0.12491827034508099,-0.26911095034732063,-0.11300497665667912,-0.2584476916055523,0.9470369765172584,1.0,0.4157326835683369,-0.10452702513133426
sd_norm_heart,-0.09629130858712906,0.25195175385820373,0.035123335846294464,-0.048031284554923115,-0.07866334588458042,-0.04855472802352111,0.20461025083998197,0.21255122696492262,-0.3114116018982992,-0.23688494853703082,-0.2928470884974075,-0.4627512311599878,-0.14126480680127543,-0.18274615161955732,0.417682594576703,0.4157326835683369,1.0,-0.15933719098718704
steps_times_distance,0.3564164202771003,0.04177926861920708,0.01852393724713943,-0.03535770636467545,0.015423361014916223,0.006820213847183306,0.2612495719939131,-0.06348699508329823,0.2372560200017689,0.6489091389103908,0.05672594138607152,0.09963483143836362,0.04474936650822442,0.18203720381858837,-0.09848284574101127,-0.10452702513133426,-0.15933719098718704,1.0
